,title,published_date,views,likes,dislikes,comments,commeents,month
119,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),Nov,28483,868,0,160,160,01-11-1900
120,6 Lessons from #66DaysOfData,Nov,6761,339,0,93,93,01-11-1900
121,100K Channel Update + AMA Stream!,Nov,2319,127,0,22,22,01-11-1900
122,Find a Data Science Project With These 3 Techniques,Nov,16962,733,0,106,106,01-11-1900
123,How I Chose My Masters Degree for Breaking into Data Science,Oct,27902,685,0,155,155,01-10-1900
124,git for Data Science Made Simple... (Hopefully),Oct,20993,904,0,92,92,01-10-1900
125,The PODCAST you might have asked for?,Oct,2127,94,0,44,44,01-10-1900
126,Dealing with Doubt in Data Science (My Impostor Syndrome Story),Oct,6786,451,0,113,113,01-10-1900
127,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,Oct,14627,426,0,47,47,01-10-1900
128,Data Science Resume Round-Up With @Tina Huang  | Episode 3,Oct,6984,146,0,62,62,01-10-1900
129,5 Unusual Data Science Projects that Will Land You a Job,Oct,12207,577,0,83,83,01-10-1900
130,Sh*t Data Scientists Say (Parody),Oct,9637,581,0,144,144,01-10-1900
131,5 Proven Strategies to Break into a Data Science Job,Oct,8639,364,0,93,93,01-10-1900
132,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,Sep,7091,287,0,61,61,01-09-1900
133,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,Sep,11900,292,0,69,69,01-09-1900
134,5 Essential Data Science Projects for Your Portfolio,Sep,73933,3127,0,206,206,01-09-1900
135,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,Sep,5207,199,0,64,64,01-09-1900
136,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),Sep,13463,509,0,58,58,01-09-1900
137,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",Sep,7514,255,0,34,34,01-09-1900
138,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,Sep,5117,197,0,56,56,01-09-1900
139,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),Sep,4343,157,0,35,35,01-09-1900
140,The 5 Pillars of Success I Live By,Sep,10158,872,0,152,152,01-09-1900
141,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,Sep,1896,78,0,25,25,01-09-1900
142,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),Sep,4055,163,0,43,43,01-09-1900
143,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,Sep,11912,742,0,145,145,01-09-1900
144,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,Sep,18047,575,0,89,89,01-09-1900
145,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),Aug,18226,797,0,93,93,01-08-1900
146,Why I'm Starting Data Science Over Again.,Aug,50804,2601,0,450,450,01-08-1900
147,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,Aug,15352,635,0,77,77,01-08-1900
